teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,o35
12,9,9,19,36,39,43,53,44,0.5,0,0,1,0,0.5,0,0,0.5,0,0
15,8,14,17,36,45,40,42,46,0.5,1,0.5,0.5,0,0.5,0.5,0,0,0,0
5,13,7,12,36,27,41,36,44,0.5,1,0.5,1,0.5,0,1,0,0.5,1,0
10,11,20,13,36,39,45,45,50,0,0.5,0,0,0,0,0,0.5,0,1,0
17,7,16,11,36,49,60,54,44,0.5,1,0.5,0,0,1,0,1,0,0,0
14,19,4,6,36,42,52,40,39,0,0,1,1,1,1,1,0,1,1,0
3,20,2,10,36,61,41,60,50,1,1,1,0,1,1,0,0,1,0,0
16,1,15,3,36,37,53,61,46,0,0.5,0,0,1,1,0.5,1,0.5,1,0
9,4,19,8,37,55,45,50,40,0.5,0,0,0.5,0,0,0.5,0.5,1,1,1
2,17,1,16,37,49,47,50,60,0.5,1,0,1,1,0.5,1,0.5,0,0,0
7,5,11,7,37,54,45,28,41,1,0,1,0,0,0.5,1,0.5,1,0.5,0
1,14,3,4,37,61,46,44,52,1,0.5,1,0.5,1,0,0,1,1,1,0
11,3,13,2,37,45,52,61,44,0,0,0.5,0,1,1,1,1,0,1,0
10,16,20,15,37,41,45,37,53,0,0.5,0,0,0,0,0.5,0,0,1,0
13,18,12,5,37,36,45,48,50,0,1,0,0.5,1,0,1,1,1,1,0
20,6,10,18,37,63,50,46,48,1,0,0,1,0,0,1,0.5,0,0.5,0
19,15,6,14,37,40,41,46,40,1,1,0,1,1,0.5,1,0.5,0.5,0,1
8,12,17,9,37,42,47,40,45,0.5,0.5,0,0,0,0.5,0,0,1,0,0
5,2,7,1,38,29,42,50,48,0.5,1,0.5,1,0.5,0.5,1,0,1,1,0
18,9,5,19,38,48,52,57,49,0,1,1,1,1,0.5,0,0,0.5,0,0
4,8,8,17,38,54,42,43,49,0,0.5,0.5,1,1,0.5,0.5,0,0,0,0
13,7,12,11,38,38,45,55,46,0,1,0,0.5,1,1,0,1,0,0,0
14,10,4,20,38,45,53,43,46,0,0,1,1,1,0,0.5,0,0,0,0
15,1,14,3,38,47,43,62,47,0.5,1,0.5,0.5,0,1,0.5,1,0.5,1,0
3,16,2,15,38,63,44,38,55,1,1,1,0,1,0,0.5,0,0,1,1
12,19,9,6,38,42,46,43,42,0.5,0,0,1,0,1,1,0,1,1,1
17,20,16,10,38,51,61,63,50,0.5,1,0.5,0,0,1,0,0,1,0,0
6,11,18,13,38,46,48,45,54,0,1,0.5,0,0.5,0,0,0.5,0,1,0
1,12,3,9,1,1,2,3,2,1,0.5,1,0.5,1,0.5,0,0,1,0,1
16,6,15,18,1,1,4,0,0,0,0.5,0,0,1,0,1,0.5,0,0.5,1
10,15,20,14,1,0,0,2,1,0,0.5,0,0,0,0.5,1,0.5,0.5,0,0
2,13,1,12,1,1,2,2,0,0.5,1,0,1,1,0,1,0,0.5,1,0
11,17,13,16,1,0,0,2,1,0,0,0.5,0,1,0.5,1,0.5,0,0,0
19,4,6,8,1,2,3,2,1,1,1,0,1,1,0,0.5,0.5,1,1,0
20,5,10,7,1,1,2,2,1,1,0,0,1,0,0.5,1,0.5,1,0.5,0
7,18,11,5,1,0,2,1,2,1,0,1,0,0,0,1,1,1,1,0
3,14,2,4,1,4,1,0,0,1,1,1,0,1,0,0,1,1,1,0
8,9,17,19,1,1,2,2,1,0.5,0.5,0,0,0,0.5,0,0,0.5,0,0
